City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
492,Auxerre,FR,47.8,3.5667,61.63,61,0,4.25,clear sky
493,Sandviken,SE,60.6167,16.7667,66.56,62,40,10.13,scattered clouds
494,Vangaindrano,MG,-23.35,47.6,71.62,80,61,7.49,light rain
495,Ugoofaaru,MV,5.6667,73.0,82.17,81,90,16.13,overcast clouds
496,Pulawy,PL,51.4166,21.9694,78.75,68,100,3.0,overcast clouds
497,Crotone,IT,39.0851,17.1178,91.18,45,0,4.34,clear sky
498,Surt,LY,31.2089,16.5887,82.85,70,0,10.6,clear sky
499,Axim,GH,4.8699,-2.2405,76.95,84,95,6.2,moderate rain
500,Opuwo,NA,-18.0607,13.84,67.48,30,1,10.13,clear sky
501,Kaspi,GE,41.9252,44.4257,77.41,40,9,7.78,clear sky
502,Corinth,GR,37.9407,22.9573,89.42,32,0,1.99,clear sky
503,Kolosovka,RU,56.4678,73.611,58.15,96,100,16.44,overcast clouds
504,Saint-Francois,FR,46.4154,3.9054,70.68,68,0,4.61,clear sky
505,Batticaloa,LK,7.7102,81.6924,92.39,47,100,22.57,overcast clouds
506,Veshenskaya,RU,49.6303,41.7334,78.42,38,10,8.77,clear sky
507,Tarko-Sale,RU,64.9225,77.785,62.37,43,19,3.31,few clouds
508,Pirajui,BR,-21.9986,-49.4572,54.99,59,5,3.89,clear sky
509,Calama,CL,-22.4667,-68.9333,46.89,8,75,14.97,broken clouds
510,Pankovka,RU,58.5,31.1999,72.39,78,0,6.87,moderate rain
511,Kamenka,RU,51.3223,42.7678,74.23,47,7,9.15,clear sky
512,Anantapur,IN,14.6833,77.6,79.47,73,100,24.09,overcast clouds
513,Anloga,GH,5.7947,0.8973,77.49,83,100,11.95,light rain
514,Syracuse,IT,37.0881,15.2792,85.37,57,0,8.68,clear sky
515,Villamontes,BO,-21.25,-63.5,62.15,80,100,2.37,overcast clouds
516,Kralendijk,BQ,12.15,-68.2667,80.58,83,20,11.5,few clouds
517,Coihueco,CL,-36.6167,-71.8333,43.54,93,0,10.36,light rain
518,Sawakin,SD,19.1059,37.3321,100.98,32,55,16.96,broken clouds
519,Kathor,IN,21.3,72.9333,84.0,84,100,9.15,light rain
520,Filingue,NE,14.3521,3.3168,86.34,51,99,15.66,overcast clouds
521,Savonlinna,FI,61.8699,28.88,69.85,64,20,9.22,few clouds
522,Pisz,PL,53.6274,21.8125,70.81,48,90,5.41,overcast clouds
523,Le Port,RE,-20.9373,55.2919,76.96,64,21,4.65,few clouds
524,Suratgarh,IN,29.3167,73.9,104.63,34,26,7.61,scattered clouds
525,Mitzic,GA,0.7821,11.549,71.44,87,86,2.84,overcast clouds
526,Maniitsoq,GL,65.4167,-52.9,42.66,93,100,10.98,overcast clouds
527,Necochea,AR,-38.5473,-58.7368,40.73,45,0,7.87,clear sky
528,Buncrana,IE,55.1333,-7.45,55.17,82,89,10.76,overcast clouds
529,Aripuana,BR,-9.1667,-60.6333,69.67,68,0,2.26,clear sky
530,Lydenburg,ZA,-25.0978,30.4597,61.39,37,0,1.97,clear sky
531,Archena,ES,38.1163,-1.3004,83.75,69,0,1.14,clear sky
532,Odweyne,SO,9.4092,45.064,84.42,33,5,21.25,clear sky
533,Idah,NG,7.1065,6.7342,77.09,87,85,4.36,light rain
534,Cristalina,BR,-16.7686,-47.6136,50.72,74,0,4.12,clear sky
535,Buraydah,SA,26.326,43.975,99.05,10,6,16.26,clear sky
536,Mogadishu,SO,2.0371,45.3438,82.27,74,40,18.41,scattered clouds
537,Karwar,IN,14.8,74.1333,77.63,91,100,18.14,light rain
538,Sarkand,KZ,45.41,79.9186,75.33,41,100,15.03,overcast clouds
539,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,80,75,14.97,broken clouds
540,Ode,NG,7.7899,5.7117,72.1,90,100,7.52,light rain
541,Werda,BW,-25.2667,23.2833,65.88,34,0,16.55,clear sky
542,Clearwater,US,27.9659,-82.8001,80.92,87,0,4.0,clear sky
543,Kipini,KE,-2.5257,40.5262,79.09,68,60,16.89,broken clouds
544,Lukulu,ZM,-14.3707,23.242,71.82,36,5,8.48,clear sky
545,Belmonte,BR,-15.8631,-38.8828,71.33,84,80,7.02,broken clouds
546,Dunda,TZ,-8.1167,34.25,72.54,35,8,6.33,clear sky
547,Soure,BR,-0.7167,-48.5233,75.29,88,0,4.61,clear sky
548,Artyom,AZ,40.4723,50.333,87.94,47,0,10.16,clear sky
549,Sioux Lookout,CA,50.1001,-91.917,60.87,100,100,3.44,light intensity shower rain
550,Nalut,LY,30.3333,10.85,87.37,30,0,7.14,clear sky
551,Gravdal,NO,68.1214,13.5031,64.29,59,75,6.91,light rain
552,Sechura,PE,-5.5569,-80.8222,62.46,85,28,8.84,scattered clouds
553,Neuquen,AR,-38.9516,-68.0591,49.89,29,0,6.91,light rain
554,Lukow,PL,51.929,22.3796,75.92,59,97,3.33,overcast clouds
555,Antalaha,MG,-14.9003,50.2788,75.56,60,86,12.75,light rain
556,Cururupu,BR,-1.8283,-44.8683,71.71,93,41,2.68,scattered clouds
557,Dehloran,IR,32.6941,47.2679,107.87,9,0,5.59,clear sky
558,Portel,BR,-1.9356,-50.8211,72.57,96,92,2.68,overcast clouds
559,Atlantic City,US,39.3643,-74.4229,69.98,76,90,8.86,overcast clouds
560,Belize,BZ,17.25,-88.75,73.72,99,100,1.23,overcast clouds
561,Geraldton,AU,-28.7667,114.6,70.21,60,100,13.8,overcast clouds
562,Viedma,AR,-40.8135,-62.9967,44.76,37,100,16.04,overcast clouds
563,Glenluce,GB,54.8798,-4.8084,55.18,81,38,14.85,scattered clouds
564,Sabya,SA,17.1495,42.6254,100.02,33,5,22.28,clear sky
