City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
408,Koslan,RU,80.85,clear sky,63.4564,48.8989,
431,Wanlaweyn,SO,85.03,overcast clouds,2.6185,44.8938,GAASHAAN HOME
433,Avanigadda,IN,89.69,overcast clouds,16.0215,80.9181,AP Camping
434,Carbonia,IT,84.85,clear sky,39.1672,8.5222,Lu 'Hotel
437,Basoko,CD,82.22,broken clouds,1.2391,23.616,Jackyna Hotel
439,Dubna,RU,82.51,few clouds,56.7333,37.1667,Rezident-Otel'
447,Ginda,IN,82.54,overcast clouds,30.6945,78.4932,Sunil Bisht
454,Granada,ES,80.29,clear sky,37.25,-3.25,CORTIJO EL AVELLANO
465,Panjab,AF,83.57,clear sky,34.388,67.0233,
467,Borujerd,IR,84.29,clear sky,33.8973,48.7516,Zagros Hotel
469,Padang,ID,87.85,broken clouds,-0.9492,100.3543,Mercure Padang
470,Aketi,CD,83.34,overcast clouds,2.7388,23.7833,
471,Corinto,GR,89.42,clear sky,37.9407,22.9573,Ephira Hotel
474,Venice,US,80.98,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
477,Beryslav,UA,86.74,clear sky,46.8415,33.4284,Lastivka
483,Varna,BG,89.24,clear sky,43.2167,27.9167,Golden Tulip Varna
485,Mizdah,LY,86.7,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
488,Taloqan,AF,87.73,clear sky,36.7361,69.5345,Saraisang street
490,Rameswaram,IN,83.98,light rain,9.2833,79.3,Daiwik Hotels Rameswaram
495,Ugoofaaru,MV,82.17,overcast clouds,5.6667,73.0,Ungoofaaru Inn
498,Surt,LY,82.85,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
502,Corinth,GR,89.42,clear sky,37.9407,22.9573,Ephira Hotel
514,Syracuse,IT,85.37,clear sky,37.0881,15.2792,Hotel Posta
516,Kralendijk,BQ,80.58,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
519,Kathor,IN,84.0,light rain,21.3,72.9333,HOTEL PEARL
520,Filingue,NE,86.34,overcast clouds,14.3521,3.3168,
531,Archena,ES,83.75,clear sky,38.1163,-1.3004,Hotel La Parra
532,Odweyne,SO,84.42,clear sky,9.4092,45.064,Eng Hiirey House
536,Mogadishu,SO,82.27,scattered clouds,2.0371,45.3438,Hotel Juba
542,Clearwater,US,80.92,clear sky,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
548,Artyom,AZ,87.94,clear sky,40.4723,50.333,Pir hos
550,Nalut,LY,87.37,clear sky,30.3333,10.85,
568,Jiwani,PK,83.88,overcast clouds,25.05,61.7417,Hamza hotel jiwani
571,Douentza,ML,85.91,clear sky,14.9951,-2.9517,Ogomono Doumbo
576,Kidal,ML,89.35,scattered clouds,18.4411,1.4078,
577,Kasongo-Lunda,CD,80.56,clear sky,-6.4667,16.8167,
588,Belogorsk,RU,83.77,overcast clouds,50.9158,128.4611,Gostinitsa Vostok 2000
589,Tiruchchendur,IN,89.89,overcast clouds,8.4833,78.1167,"Hotel Udhayam International, Thiruchendur"
594,Saint-Louis,SN,80.24,overcast clouds,16.3333,-15.0,
604,Ouallam,NE,85.24,overcast clouds,14.3188,2.0866,
607,Rantoul,US,80.82,clear sky,40.3084,-88.1559,First Heritage Inn
609,Herat,AF,82.69,clear sky,34.5,62.0,
615,Zhanaozen,KZ,83.46,few clouds,43.3,52.8,K.korabay 28A
616,Baherden,TM,84.63,clear sky,38.4362,57.4316,
617,Csomor,HU,81.79,clear sky,47.55,19.2333,Vis Vitalis Hotel
631,Puri,IN,81.12,light rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
634,Ajdabiya,LY,86.2,clear sky,30.7554,20.2263,Almadina Hotel
638,Bolshaya Martynovka,RU,86.13,scattered clouds,47.271,41.6679,Gostinitsa
639,Tunceli,TR,83.05,clear sky,39.1083,39.5471,Grand Hotel Şaroğlu
643,Semnan,IR,82.24,clear sky,35.5729,53.3971,Semnan Tourist Hotel
644,Mitsamiouli,KM,80.89,few clouds,-11.3847,43.2844,Foyer ADM
660,Duku,NG,80.6,overcast clouds,11.2361,4.9073,
663,Tabuk,PH,86.31,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
669,Veraval,IN,81.7,overcast clouds,20.9,70.3667,Lords Inn Somnath
671,Dawlatabad,AF,88.7,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
675,Tshikapa,CD,83.95,scattered clouds,-6.4167,20.8,Tatem beach
676,Goure,NE,83.01,few clouds,13.9835,10.2704,
679,Krasnovka,RU,83.03,clear sky,48.8177,40.0923,
683,Jumla,NP,81.46,few clouds,29.2747,82.1838,Royal Garden Hotel
